Open,High,Low,Close,Volume
247.19,247.19,233.44,236.0,"101,075,102"
238.67,240.79,237.21,237.59,"55,658,281"
234.12,239.86,234.01,239.36,"45,486,102"
230.85,240.19,230.81,238.26,"75,707,570"
224.02,232.15,223.98,229.86,"94,863,422"
224.78,225.63,221.41,222.78,"54,697,910"
224.74,227.03,222.3,223.66,"60,234,762"
219.79,224.12,219.79,223.83,"64,126,500"
224.0,224.42,219.38,222.64,"98,070,430"
232.12,232.29,228.48,229.98,"68,488,305"
237.35,238.01,228.03,228.26,"71,759,047"
234.64,238.96,234.43,237.87,"39,831,969"
234.75,236.12,232.47,233.28,"39,435,289"
233.53,234.67,229.72,234.4,"49,630,727"
240.01,240.16,233.0,236.85,"61,710,859"
241.92,243.71,240.05,242.7,"37,628,941"
242.98,245.55,241.35,242.21,"40,855,961"
244.31,247.33,243.2,245.0,"45,045,566"
243.36,244.18,241.89,243.36,"40,244,113"
248.93,249.1,241.82,243.85,"55,740,727"
