Date,Open,High,Low,Close,Volume
08/28/2025,"230.82","233.41","229.34","232.56","38,074,699"
08/27/2025,"228.61","230.90","228.26","230.49","31,259,510"
08/26/2025,"226.87","229.49","224.69","229.31","54,575,113"
08/25/2025,"226.48","229.30","226.23","227.16","30,983,131"
08/22/2025,"226.17","229.09","225.41","227.76","42,477,809"
08/21/2025,"226.27","226.52","223.78","224.90","30,621,250"
08/20/2025,"229.98","230.47","225.77","226.01","42,263,871"
08/19/2025,"231.28","232.87","229.35","230.56","39,402,559"
08/18/2025,"231.70","233.12","230.11","230.89","37,476,191"
08/15/2025,"234.00","234.28","229.34","231.59","56,038,660"
08/14/2025,"234.06","235.12","230.85","232.78","51,916,281"
08/13/2025,"231.07","235.00","230.43","233.33","69,878,555"
08/12/2025,"228.01","230.80","227.07","229.65","55,672,301"
08/11/2025,"227.92","229.56","224.76","227.18","61,806,129"
08/08/2025,"220.83","231.00","219.25","229.35","113,854,000"
08/07/2025,"218.88","220.85","216.58","220.03","90,224,828"
08/06/2025,"205.63","215.38","205.59","213.25","108,483,102"
08/05/2025,"203.40","205.34","202.16","202.92","44,155,078"
08/04/2025,"204.51","207.88","201.68","203.35","75,109,297"
08/01/2025,"210.87","213.58","201.50","202.38","104,434,492"
07/31/2025,"208.49","209.84","207.16","207.57","80,698,430"
07/30/2025,"211.90","212.39","207.72","209.05","45,512,512"
07/29/2025,"214.18","214.81","210.82","211.27","51,411,719"
